CompoundName,MixerLine,material_system,phase_route,system_route_branch,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,safe_bounds_match_level,safe_bound_status,route_stage_status,recommendation_status,confidence_label,ood_flag,model_based_saving_pct,shadow_actual_saving_pct,recommended_DryMixing_Duration,recommended_WetMixing_Duration,recommended_PID_Duration,recommended_BottomMixing_Duration,delta_DryMixing_Duration,delta_WetMixing_Duration,delta_PID_Duration,delta_BottomMixing_Duration
M1-T17771---- 04 003,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17771---- 04 004;M1-T19327---- 01 004;M1-T05073XV-- 01 001;M1-T05073---- 06 006;M1-T05073---- 06 007,0.825,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,True,0.0,-1.18,0.0,28.0,40.0,133.0,0.0,0.0,0.0,0.0
M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,L1_SIMILAR_RECIPE_REFERENCE,2,5,M1-T33025W3-- 03 004;M1-T16455---- 06 001;M1-T14150---- 17 004;M1-T14150---- 17 005;M1-T15760---- 08 001,0.993,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,MEDIUM,False,0.0,-1.17,0.0,42.0,61.0,100.0,0.0,0.0,0.0,0.0
M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,L1_SIMILAR_RECIPE_REFERENCE,2,5,M1-T33025W3-- 03 004;M1-T16455---- 06 001;M1-T14150---- 17 004;M1-T14150---- 17 005;M1-T15760---- 08 001,0.994,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,MEDIUM,False,0.0,1.52,0.0,40.0,61.0,101.0,0.0,0.0,0.0,0.0
M1-B15563---- 01 005,ML09,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-B15563---- 01 003;M1-B00458---- 11 005;M1-B00458---- 11 006;M1-B00458RFD- 06 001;M1-B00458RRL- 04 002,0.994,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-19.0,0.0,-91.0
M1-B15563---- 01 005,ML09,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-B15563---- 01 003;M1-B00458---- 11 005;M1-B00458---- 11 006;M1-B00458RFD- 06 001;M1-B00458RRL- 04 002,0.994,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-31.0,0.0,-90.0
M1-B15563---- 01 005,ML09,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-B15563---- 01 003;M1-B00458---- 11 005;M1-B00458---- 11 006;M1-B00458RFD- 06 001;M1-B00458RRL- 04 002,0.994,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-32.0,0.0,-89.0
M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,L1_SIMILAR_RECIPE_REFERENCE,2,5,M1-T33025W3-- 03 004;M1-T16455---- 06 001;M1-T14150---- 17 004;M1-T14150---- 17 002;M1-T14150---- 17 005,0.981,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,LOW,True,0.0,0.03,0.0,54.0,60.0,101.0,0.0,0.0,0.0,0.0
M1-A00268R2-- 05 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,2,5,M1-A00268R2-- 05 006;M1-A00268R2-- 05 001;M1-A44268---- 01 002;M1-A00205W3-- 03 003;M1-A00205W3-- 03 002,0.974,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,HIGH,False,0.0,-0.76,31.0,5.0,0.0,89.0,0.0,0.0,0.0,0.0
M1-A00268R2-- 05 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,2,5,M1-A00268R2-- 05 006;M1-A00268R2-- 05 001;M1-A44268---- 01 002;M1-A00205W3-- 03 003;M1-A00205W3-- 03 002,0.974,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,HIGH,False,0.0,6.51,31.0,15.0,0.0,88.0,0.0,0.0,0.0,0.0
M1-A00268R2-- 05 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L1_SIMILAR_RECIPE_REFERENCE,2,5,M1-A00268R2-- 05 006;M1-A00268R2-- 05 001;M1-A44268---- 01 002;M1-A00205W3-- 03 003;M1-A00205W3-- 03 002,0.973,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,REFERENCE_ONLY,EXACT_RECIPE_MIXER_ROUTE,NOT_CHECKED,ZERO_EFFECTIVE_DURATIONS,NO_VALID_CANDIDATE,HIGH,False,0.0,0.77,31.0,5.0,0.0,88.0,0.0,0.0,0.0,0.0
