CompoundName,material_system,phase_route,MixerLine,bounds_scope,sample_count,Stage2_DryMixing_Duration_min,Stage2_DryMixing_Duration_max,Stage2_DryMixing_Duration_nominal,Stage4_WetMixing_Duration_min,Stage4_WetMixing_Duration_max,Stage4_WetMixing_Duration_nominal,Stage5_PID_Duration_min,Stage5_PID_Duration_max,Stage5_PID_Duration_nominal,Stage6_BottomMixing_Duration_min,Stage6_BottomMixing_Duration_max,Stage6_BottomMixing_Duration_nominal,Target_Temperature_min,Target_Temperature_max,Target_Temperature_nominal
M1-T15760W--- 03 005,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,181,42.0,53.0,43.0,45.0,85.0,57.0,64.0,91.0,73.0,77.0,138.0,84.0,165.0,165.0,165.0
M1-T15760W--- 05 002,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15760XC-- 01 001,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,11,42.0,43.0,43.0,51.5,60.5,57.0,53.0,147.0,55.0,172.0,228.5,217.0,165.0,165.0,165.0
M1-T15760XP-- 01 003,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15899---- 08 008,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15899---- 08 011,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,102,45.0,46.0,46.0,35.0,63.95,43.0,21.0,43.9,23.0,84.05,116.95,108.0,165.0,165.0,165.0
M1-T15899---- 12 003,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,13,45.0,45.4,45.0,53.0,68.2,64.0,34.0,52.2,40.0,89.0,159.8,94.0,165.0,165.0,165.0
M1-T15899---- 12 004,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,29,45.0,45.0,45.0,42.4,75.6,65.0,33.0,58.0,38.0,84.0,95.6,94.0,165.0,165.0,165.0
M1-T16455---- 06 001,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,8,46.1,74.0,74.0,64.05,90.0,80.5,58.7,67.95,63.5,35.35,108.6,77.0,165.0,165.0,165.0
M1-T16734---- 06 001,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,83,133.0,274.0,143.0,0.0,0.0,0.0,56.0,68.9,61.0,75.0,98.9,85.0,165.0,165.0,165.0
M1-T16734---- 06 003,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,18,62.55,135.3,131.5,0.0,0.0,0.0,38.25,120.85,41.0,80.0,106.55,81.0,165.0,165.0,165.0
M1-T16734---- 07 001,Silica,NoOilDry,ML09,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
