CompoundName,material_system,phase_route,system_route_branch,actual_kwh_per_ton,recommended_kwh_per_ton,predicted_baseline_kwh_per_ton,mooney_pred,mooney_lower,mooney_upper,recommendation_status
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,110.54,110.54,110.54,33.51,31.74,35.27,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,123.45,123.45,123.45,56.0,54.23,57.76,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,122.02,122.02,122.02,55.56,53.8,57.32,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,118.39,118.39,118.39,56.01,54.25,57.78,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,122.5,122.5,122.5,56.3,54.54,58.07,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,122.12,122.12,122.12,56.62,54.85,58.38,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,119.96,119.96,119.96,56.31,54.55,58.08,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,121.44,121.44,121.44,57.01,55.25,58.78,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,120.95,120.95,120.95,56.91,55.15,58.68,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,127.24,127.24,127.24,53.57,51.8,55.33,NO_VALID_CANDIDATE
M1-B00163RT-- 01 001,CarbonBlack,OilWet,CarbonBlack_OilWet,131.98,131.98,131.98,53.28,51.51,55.04,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,122.7,122.7,122.7,57.05,55.28,58.81,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,125.46,125.46,125.46,57.14,55.38,58.91,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,126.9,126.9,126.9,57.15,55.39,58.92,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,127.64,127.64,127.64,57.07,55.31,58.84,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,105.37,105.37,105.37,56.43,54.67,58.2,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,106.27,106.27,106.27,57.42,55.66,59.19,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,109.49,109.49,109.49,56.83,55.06,58.59,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,107.79,107.79,107.79,56.58,54.82,58.35,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,114.98,114.98,114.98,55.31,53.54,57.07,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,116.42,116.42,116.42,55.82,54.06,57.59,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,110.9,110.9,110.9,41.86,40.1,43.63,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,103.59,103.59,103.59,42.46,40.69,44.22,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,104.24,104.24,104.24,42.48,40.72,44.25,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,105.03,105.03,105.03,41.92,40.16,43.68,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,104.17,104.17,104.17,42.0,40.23,43.76,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,106.3,106.3,106.3,41.25,39.49,43.01,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,104.02,104.02,104.02,40.63,38.86,42.39,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,125.32,125.32,125.32,40.62,38.85,42.38,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,120.46,120.46,120.46,40.34,38.58,42.1,NO_VALID_CANDIDATE
M1-B00458---- 12 005,CarbonBlack,OilWet,CarbonBlack_OilWet,121.45,121.45,121.45,39.91,38.14,41.67,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,129.67,129.67,129.67,41.26,39.5,43.03,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,128.2,128.2,128.2,40.29,38.52,42.05,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,124.61,124.61,124.61,40.83,39.07,42.59,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,120.97,120.97,120.97,40.79,39.03,42.56,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,123.59,123.59,123.59,41.09,39.32,42.85,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,122.75,122.75,122.75,41.24,39.48,43.01,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,132.56,132.56,132.56,40.81,39.05,42.58,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,127.65,127.65,127.65,40.76,39.0,42.53,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,122.89,122.89,122.89,40.8,39.04,42.57,NO_VALID_CANDIDATE
M1-B00458---- 12 007,CarbonBlack,OilWet,CarbonBlack_OilWet,141.28,141.28,141.28,39.99,38.23,41.76,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,131.56,131.56,131.56,40.21,38.44,41.97,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,124.57,124.57,124.57,40.6,38.83,42.36,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,120.12,120.12,120.12,40.59,38.82,42.35,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,123.81,123.81,123.81,40.54,38.78,42.3,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,127.9,127.9,127.9,40.87,39.1,42.63,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,124.46,124.46,124.46,41.02,39.26,42.79,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,123.61,123.61,123.61,40.88,39.11,42.64,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,127.62,127.62,127.62,40.84,39.07,42.6,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,119.26,119.26,119.26,40.8,39.03,42.56,NO_VALID_CANDIDATE
M1-B00458---- 12 008,CarbonBlack,OilWet,CarbonBlack_OilWet,121.49,121.49,121.49,40.82,39.06,42.59,NO_VALID_CANDIDATE
M1-A00268XM-- 02 004,CarbonBlack,OilWet,CarbonBlack_OilWet,116.04,116.04,101.16,,,,REJECTED
M1-A00268XM-- 02 004,CarbonBlack,OilWet,CarbonBlack_OilWet,105.66,105.66,100.65,,,,REJECTED
M1-A00268XM-- 02 004,CarbonBlack,OilWet,CarbonBlack_OilWet,105.3,105.3,100.85,,,,REJECTED
M1-T17771---- 05 002,Silica,OilWet,Silica_OilWet,171.44,171.44,171.44,34.08,31.73,36.44,NO_VALID_CANDIDATE
